country_code,country_name,time,year,month,tp,uvb,cp,lsp,ssrd,i10fg,u10,v10,d2m,t2m,msl,sp,skt,number
MDA,Moldova,2023-05-01,2023,5,0.0008071228846920439,2360149.8321663286,0.0006321544752890456,0.00017525744069190214,21386559.37427178,6.07413339094485,-0.7455069487580349,-1.0542283555252856,280.1418630921449,289.40086061126135,101902.01725241687,100208.96126867329,289.80930061646154,0
MDA,Moldova,2023-06-01,2023,6,0.000921448848175015,2457376.274887134,0.0007647513163424596,0.00015684999881892988,21688632.855009787,5.992848863765656,0.5354442139356792,-0.9943406622709438,285.03175213275733,294.0312761378435,101439.97037461896,99770.62659475938,295.0938794688688,0
MDA,Moldova,2023-07-01,2023,7,0.0022360535519611456,2418499.9046052503,0.0017950340950283394,0.0004410805781291962,21288514.811865903,6.081371119498184,1.1670974704487276,-0.7961615767045344,288.0769119742249,296.65313656439196,101232.5148203058,99575.0184673554,297.6862067954449,0
MDA,Moldova,2023-08-01,2023,8,0.0006783061667128708,2290445.000425779,0.0005609370236880737,0.00011721665369821647,20490296.220537946,5.442663141002381,-0.08846010577084938,-0.21807593017543914,287.6833965535952,297.94518235630045,101432.99859168332,99776.93654308615,299.11407978384636,0
MDA,Moldova,2023-09-01,2023,9,0.0006579204611973139,1695390.5451546584,0.00045020868537872807,0.0002079271375030991,15676336.128577994,5.633055627834114,-0.5110421238765573,-0.5748399177029574,283.8993267348824,293.2860733521241,102018.12460874353,100340.04437430334,293.8077513136157,0
MDA,Moldova,2023-10-01,2023,10,0.0005396437055603145,1059927.2602957678,0.00018513447377724285,0.0003547273452406235,10023359.470932737,6.563430785622652,1.3236030530288465,0.5840877225423848,279.77728318455627,287.5657942688413,101541.25738247509,99849.06008428887,287.5818692293971,0
MDA,Moldova,2023-11-01,2023,11,0.002598801936323045,529068.4692431851,0.0007974871090777148,0.0018013843257564408,4979042.117531764,7.300399442465058,0.8517276237700672,0.2771472383314214,275.97105134632676,279.51310349324257,100923.8051974786,99194.13149134383,279.02493887395246,0
MDA,Moldova,2023-12-01,2023,12,0.0006860298411069084,379147.42194223276,0.00018272018546841432,0.0005035207297452159,3533945.7878110516,5.874965518177164,0.9810721119981819,0.19135563491209306,272.83895631605327,275.64536715496763,101559.84033531739,99799.49001743212,274.85129919474144,0
MDA,Moldova,2024-01-01,2024,1,0.0013471881220115207,514742.6636922778,0.0002339567570172069,0.0011132452753743515,4799269.732899075,6.66971901278653,1.3069105211328949,-0.23501013036015062,269.58925999913504,272.5510758558652,101845.05164151949,100059.22564610805,271.50364604474305,0
MDA,Moldova,2024-02-01,2024,2,0.0005620972206270014,755972.4704371779,0.00018144764125030787,0.0003807390899655546,7070964.656906607,6.80256452862539,0.310669870948939,0.9553873492464937,275.3551040330779,279.38674006946906,101635.48513795329,99893.57700800791,278.8379570756499,0
MDA,Moldova,2024-03-01,2024,3,0.0017522962821947404,1174160.303671204,0.0005517364259965123,0.0012007456811463095,10691403.859950798,6.41660779288965,-0.6263317014418092,0.1071367658668764,274.8716653132781,279.63734752356476,101602.74821617529,99860.22091240632,279.2688934223929,0
MDA,Moldova,2024-04-01,2024,4,0.0018198865402332476,1878431.376934784,0.0007696555857239893,0.0010505215524468023,17130958.70951402,6.224975897119548,0.5829629293046951,-0.36981829180519443,279.53678273054265,287.33439078991336,101540.73994611406,99845.55653433713,287.29060551476886,0
MDA,Moldova,2024-05-01,2024,5,0.0013060201115403544,2321036.9861393077,0.001076883746162326,0.00022938162046821754,21329262.14601978,6.333171838210214,-1.3672104785706907,0.013509078143907748,279.462033593754,289.4563706220815,101703.341029364,100014.72568756137,290.33128458643006,0
MDA,Moldova,2024-06-01,2024,6,0.0018431963129810006,2558542.9631151175,0.0015218057118475989,0.00032118856822074967,22689688.234083254,5.442867583023767,0.20930844268745674,-0.053483470361024854,287.9503150382406,295.9830623099084,101374.61807457422,99713.64391732146,296.81338515325086,0
MDA,Moldova,2024-07-01,2024,7,0.0017370023386137304,2564537.007401435,0.0013199277343008441,0.0004166553048605194,22716809.848830335,5.8641638067736235,0.289659312749475,-1.1471218123659277,287.80302614933703,298.67677003195763,101278.75145944017,99626.70558193217,299.9605659188801,0
MDA,Moldova,2024-08-01,2024,8,0.0008859894887920878,2195056.801335248,0.0007059549464190131,0.0001803094608189622,19583704.07858741,5.473452240939927,0.2287985422820099,-0.9146140681720857,286.24186709901306,297.75493973003927,101322.20007898222,99668.20546924903,298.81553552855564,0
